Id,Label,Latitude,Longitude,Densidade,Tipo
"38.0_14.0","38.0_14.0",38.5988,14.7965,0.652000,"Intermediario"
"-19.0_-27.0","-19.0_-27.0",-18.6150,-26.1638,0.001560,"Intermediario"
"29.0_134.0","29.0_134.0",29.8234,134.7113,0.046300,"Intermediario"
"58.0_-4.0","58.0_-4.0",58.4072,-3.3379,0.003546,"Intermediario"
"26.0_-72.0","26.0_-72.0",26.6967,-71.6867,0.032695,"Intermediario"
"17.0_-68.0","17.0_-68.0",17.8350,-67.4000,0.005400,"Intermediario"
"36.0_-153.0","36.0_-153.0",36.8800,-152.1100,0.122000,"Intermediario"
"55.0_-8.0","55.0_-8.0",55.6869,-7.5318,2.250000,"Intermediario"
"38.0_-137.0","38.0_-137.0",38.2700,-136.3000,0.157000,"Intermediario"
"12.0_-157.0","12.0_-157.0",12.3067,-156.6167,0.000000,"Intermediario"
"43.0_-78.0","43.0_-78.0",43.5264,-77.4419,0.607478,"Intermediario"
"8.0_-94.0","8.0_-94.0",8.7500,-93.1500,0.000000,"Intermediario"
"5.0_-143.0","5.0_-143.0",5.9500,-142.7000,0.000000,"Intermediario"
"26.0_-116.0","26.0_-116.0",26.8350,-115.3950,0.000000,"Intermediario"
"23.0_-175.0","23.0_-175.0",23.8900,-174.7400,0.001090,"Intermediario"
"20.0_-112.0","20.0_-112.0",20.6900,-111.7600,0.000000,"Intermediario"
"-27.0_-106.0","-27.0_-106.0",-26.4500,-105.4000,0.011200,"Intermediario"
"-6.0_-157.0","-6.0_-157.0",-5.2100,-156.4800,0.000000,"Intermediario"
"6.0_-157.0","6.0_-157.0",6.4067,-156.5533,0.000747,"Intermediario"
"48.0_-16.0","48.0_-16.0",48.6822,-15.5763,4.000000,"Intermediario"
"25.0_-159.0","25.0_-159.0",25.3927,-158.5307,0.018824,"Intermediario"
"77.0_75.0","77.0_75.0",77.4395,75.7306,0.177000,"Intermediario"
"-2.0_-98.0","-2.0_-98.0",-1.8400,-97.3600,0.000000,"Intermediario"
"6.0_88.0","6.0_88.0",6.4225,88.7502,0.001730,"Intermediario"
"12.0_-62.0","12.0_-62.0",12.4637,-61.6653,0.002786,"Intermediario"
"-27.0_108.0","-27.0_108.0",-26.6675,108.2842,0.004520,"Intermediario"
"-65.0_-62.0","-65.0_-62.0",-64.0800,-62.0000,0.000082,"Intermediario"
"39.0_-65.0","39.0_-65.0",39.4388,-64.6638,0.007805,"Intermediario"
"-16.0_141.0","-16.0_141.0",-15.5033,141.0418,0.000590,"Intermediario"
"-13.0_-147.0","-13.0_-147.0",-12.6750,-146.5750,0.000000,"Intermediario"
"35.0_18.0","35.0_18.0",35.1165,18.2948,0.289000,"Intermediario"
"15.0_-150.0","15.0_-150.0",15.2300,-149.4700,0.026000,"Intermediario"
"53.0_-134.0","53.0_-134.0",53.1100,-133.4000,0.000000,"Intermediario"
"2.0_-27.0","2.0_-27.0",2.4600,-26.0100,0.089900,"Intermediario"
"27.0_-38.0","27.0_-38.0",27.4098,-37.3969,0.020600,"Intermediario"
"37.0_144.0","37.0_144.0",37.4406,144.1275,0.503450,"Intermediario"
"-9.0_93.0","-9.0_93.0",-8.2244,93.7140,0.293800,"Intermediario"
"-27.0_-12.0","-27.0_-12.0",-26.2905,-11.2880,0.175000,"Intermediario"
"9.0_-164.0","9.0_-164.0",9.2000,-163.5000,0.019900,"Intermediario"
"-35.0_32.0","-35.0_32.0",-34.4400,32.1200,0.130000,"Intermediario"
"19.0_-80.0","19.0_-80.0",19.5524,-79.3965,0.010505,"Intermediario"
"76.0_2.0","76.0_2.0",76.0717,2.0867,0.751000,"Intermediario"
"22.0_-75.0","22.0_-75.0",22.6373,-74.5373,0.013555,"Intermediario"
"20.0_-60.0","20.0_-60.0",20.5573,-59.4147,0.024471,"Intermediario"
"32.0_-157.0","32.0_-157.0",32.4132,-156.6058,0.139600,"Intermediario"
"-14.0_-33.0","-14.0_-33.0",-13.7400,-32.3800,0.007470,"Intermediario"
"32.0_128.0","32.0_128.0",32.4524,128.5255,0.321875,"Intermediario"
"40.0_139.0","40.0_139.0",40.6266,139.3175,1.631132,"Intermediario"
"25.0_-66.0","25.0_-66.0",25.5740,-65.5060,0.038594,"Intermediario"
"30.0_-74.0","30.0_-74.0",30.5180,-73.5440,0.069152,"Intermediario"
"-5.0_-143.0","-5.0_-143.0",-4.6200,-142.4525,0.000000,"Intermediario"
"10.0_-160.0","10.0_-160.0",10.4675,-159.5175,0.000000,"Intermediario"
"1.0_-167.0","1.0_-167.0",1.6000,-166.8500,0.000000,"Intermediario"
"34.0_-70.0","34.0_-70.0",34.0800,-69.9900,0.045850,"Intermediario"
"-7.0_-158.0","-7.0_-158.0",-6.3900,-157.3200,0.000000,"Intermediario"
"-59.0_-49.0","-59.0_-49.0",-58.5081,-48.3998,0.015000,"Intermediario"
"11.0_-143.0","11.0_-143.0",11.8900,-142.9000,0.016000,"Intermediario"
"30.0_-173.0","30.0_-173.0",30.2800,-172.6200,0.050800,"Intermediario"
"37.0_-123.0","37.0_-123.0",37.6498,-122.4178,1.895111,"Intermediario"
"12.0_-113.0","12.0_-113.0",12.9500,-112.9400,0.005400,"Intermediario"
"34.0_140.0","34.0_140.0",34.9346,140.2099,0.096400,"Intermediario"
"18.0_-61.0","18.0_-61.0",18.5157,-60.4986,0.007197,"Intermediario"
"25.0_-79.0","25.0_-79.0",25.9300,-78.3150,0.000550,"Intermediario"
"-27.0_-38.0","-27.0_-38.0",-26.1310,-37.5873,0.009720,"Intermediario"
"35.0_-67.0","35.0_-67.0",35.3929,-66.4771,0.055057,"Intermediario"
"6.0_-144.0","6.0_-144.0",6.9500,-143.2000,0.000000,"Intermediario"
"33.0_31.0","33.0_31.0",33.1543,31.8692,0.688000,"Intermediario"
"27.0_130.0","27.0_130.0",27.4914,130.5946,0.059300,"Intermediario"
"33.0_-127.0","33.0_-127.0",33.4700,-126.7700,0.008460,"Intermediario"
"32.0_-131.0","32.0_-131.0",32.5881,-130.5830,0.477340,"Intermediario"
"29.0_-63.0","29.0_-63.0",29.3948,-62.7514,0.045725,"Intermediario"
"-10.0_-139.0","-10.0_-139.0",-9.6100,-138.5800,0.001273,"Intermediario"
"23.0_-131.0","23.0_-131.0",23.5677,-130.3722,0.023800,"Intermediario"
"-12.0_-145.0","-12.0_-145.0",-11.6825,-144.5300,0.000000,"Intermediario"
"39.0_135.0","39.0_135.0",39.4485,135.8249,1.841500,"Intermediario"
"27.0_-69.0","27.0_-69.0",27.5400,-68.7675,0.009191,"Intermediario"
"22.0_-62.0","22.0_-62.0",22.9500,-61.0800,0.004300,"Intermediario"
"38.0_-124.0","38.0_-124.0",38.1900,-123.4229,0.073714,"Intermediario"
"-26.0_168.0","-26.0_168.0",-25.0812,168.6988,0.001392,"Intermediario"
"19.0_132.0","19.0_132.0",19.4410,132.7781,0.096400,"Intermediario"
"44.0_-8.0","44.0_-8.0",44.0457,-7.6485,1.340000,"Intermediario"
"22.0_-161.0","22.0_-161.0",22.4200,-160.4973,0.012458,"Intermediario"
"37.0_-61.0","37.0_-61.0",37.2000,-60.9300,0.014000,"Intermediario"
"46.0_-4.0","46.0_-4.0",46.4424,-3.6026,2.040429,"Intermediario"
"28.0_-57.0","28.0_-57.0",28.5650,-56.7150,0.055200,"Intermediario"
"42.0_16.0","42.0_16.0",42.1667,16.3999,2.140000,"Intermediario"
"22.0_-108.0","22.0_-108.0",22.6850,-107.5550,0.011550,"Intermediario"
"33.0_-64.0","33.0_-64.0",33.6363,-63.5413,0.074175,"Intermediario"
"31.0_-161.0","31.0_-161.0",31.3298,-160.2649,0.751633,"Intermediario"
"9.0_-120.0","9.0_-120.0",9.2200,-119.0300,0.000000,"Intermediario"
"-22.0_101.0","-22.0_101.0",-21.2444,101.3991,0.018800,"Intermediario"
"44.0_-134.0","44.0_-134.0",44.8800,-133.9200,0.008690,"Intermediario"
"16.0_-146.0","16.0_-146.0",16.5800,-145.4350,0.001750,"Intermediario"
"-5.0_-156.0","-5.0_-156.0",-4.4850,-155.3150,0.000421,"Intermediario"
"-36.0_13.0","-36.0_13.0",-35.3054,13.3976,0.017067,"Intermediario"
"-68.0_167.0","-68.0_167.0",-67.0973,167.3309,0.000000,"Intermediario"
"38.0_5.0","38.0_5.0",38.2873,5.6022,2.232750,"Intermediario"
"15.0_-163.0","15.0_-163.0",15.3600,-162.4300,0.012100,"Intermediario"
"40.0_-74.0","40.0_-74.0",40.2900,-73.4100,0.000000,"Intermediario"
"-29.0_-16.0","-29.0_-16.0",-28.0320,-15.3368,0.149000,"Intermediario"
"42.0_-128.0","42.0_-128.0",42.7400,-127.1700,0.000000,"Intermediario"
"23.0_-81.0","23.0_-81.0",23.7120,-80.5970,0.005436,"Intermediario"
"-34.0_-35.0","-34.0_-35.0",-33.6870,-34.3420,0.044000,"Intermediario"
"-27.0_-25.0","-27.0_-25.0",-26.4600,-24.2100,0.324000,"Intermediario"
"-20.0_-6.0","-20.0_-6.0",-19.1813,-5.9712,0.005780,"Intermediario"
"-30.0_-102.0","-30.0_-102.0",-29.0453,-101.7302,0.708000,"Intermediario"
"-43.0_148.0","-43.0_148.0",-42.5642,148.6996,0.006051,"Intermediario"
"5.0_-156.0","5.0_-156.0",5.4775,-155.6150,0.001250,"Intermediario"
"73.0_72.0","73.0_72.0",73.8528,72.9964,0.000000,"Intermediario"
"51.0_-132.0","51.0_-132.0",51.1800,-131.2700,0.004900,"Intermediario"
"3.0_-15.0","3.0_-15.0",3.2770,-14.9691,0.058900,"Intermediario"
"29.0_-76.0","29.0_-76.0",29.8900,-75.0700,0.034600,"Intermediario"
"16.0_-71.0","16.0_-71.0",16.5071,-70.4171,0.004843,"Intermediario"
